name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,fps_per_w,area,fps_per_w_per_area,Total_Cache_Reads,Total_Cache_Writes,Total_Cache_Access,Dataflow,Datarate,BatchSize
AMW_5,ResNet50,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",8.27E-05,0.07613049,13.13534177,18656.62377,818448.9092,1.24E-05,41986.25814,2.94E-10,5.64457E+12,172679038,5.64474E+12,Input-Stationary,5,1
AMW_10,ResNet50,"[{'element_size': 12, 'element_count': 12, 'units_count': 1280, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",6.17E-05,0.059951701,16.68009386,25584.48961,1427215.496,9.00E-06,22251.06543,4.04E-10,5.63549E+12,231035944,5.63572E+12,Input-Stationary,10,1
MAW_5,ResNet50,"[{'element_size': 22, 'element_count': 22, 'units_count': 673, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",0.000112287,2.495955915,0.400648102,13980.59807,1278845.682,3.12E-07,55604.42044,5.61E-12,5.56397E+12,124328156,5.56409E+12,Input-Stationary,5,1
MAW_10,ResNet50,"[{'element_size': 16, 'element_count': 16, 'units_count': 1241, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",8.27E-05,3.58745149,0.278749414,19429.33267,2336690.415,1.19E-07,20432.35719,5.82E-12,5.64457E+12,172679038,5.64474E+12,Input-Stationary,10,1
HEANA_5,ResNet50,"[{'element_size': 42, 'element_count': 42, 'units_count': 190, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",0.00021137,0.027951805,35.77586518,7317.92546,320947.9702,6.14E-05,54693.23085,1.12E-09,5.78962E+12,67734832,5.78969E+12,Input-Stationary,5,1
HEANA_10,ResNet50,"[{'element_size': 31, 'element_count': 31, 'units_count': 356, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_10', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 10, 'batch_size': 1}]",0.000155861,0.022901947,43.66441061,9997.15754,618206.2316,4.14E-05,20663.04573,2.00E-09,5.7729E+12,91232514,5.77299E+12,Input-Stationary,10,1
HEANA_1,ResNet50,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.000408534,0.054247853,18.43390926,3754.6111,86898.08112,0.000118083,25532.85089,4.62E-09,5.72211E+12,33773466,5.72215E+12,Input-Stationary,1,1
AMW_1,ResNet50,"[{'element_size': 31, 'element_count': 31, 'units_count': 197, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.000155861,0.161291766,6.199944515,9749.323173,215689.554,2.25E-05,25424.06357,8.83E-10,5.7729E+12,91232514,5.77299E+12,Input-Stationary,1,1
MAW_1,ResNet50,"[{'element_size': 44, 'element_count': 44, 'units_count': 173, 'reconfig': [], 'vdp_type': 'MAM', 'name': 'MAW_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.000222826,1.207950762,0.827848313,6819.228354,331933.1526,2.45E-06,25408.74542,9.65E-11,5.42679E+12,60670382,5.42685E+12,Input-Stationary,1,1
HEANA_1,ResNet50,"[{'element_size': 83, 'element_count': 83, 'units_count': 50, 'reconfig': [], 'vdp_type': 'MMA', 'name': 'HEANA_1', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 1, 'batch_size': 1}]",0.000408534,0.051772098,19.31542353,3716.260121,86898.08112,0.000121726,25532.85089,4.77E-09,2.88132E+12,17107738,2.88134E+12,Weight-Stationary,1,1
AMW_5,ResNet50,"[{'element_size': 16, 'element_count': 16, 'units_count': 734, 'reconfig': [], 'vdp_type': 'AMM', 'name': 'AMW_5', 'accelerator_type': 'ANALOG', 'precision': 4, 'bitrate': 5, 'batch_size': 1}]",8.27E-05,0.06173562,16.19810421,18101.14322,818448.9092,1.46E-05,41986.25814,3.47E-10,2.84175E+12,87608702,2.84183E+12,Weight-Stationary,5,1
